〈Table 4〉 Analysis of the contents of school complaints experienced by research participant

| no. | Complaints | Content of complaints | Frequency (number) | Resolution |
|------|-------------|------------------------|---------------------|-------------|
| 1    | 학부모      | 교사의 학생체벌 또는 욕설에 관한 민원 | 5                   | ○           |
| 2    | 학부모      | 생활지도 및 교과지도 소홀/부당대우 관련 민원 | 10                  | ○           |
| 3    | 학부모      | 고교 배정 관련 민원 | 10                  | ○           |
| 4    | 학부모      | 중학 배정 관련 민원 | 5                   | ○           |
| 5    | 학부모      | 학부모간 갈등 관련 민원 | 10                  | ○           |
| 6    | 학부모      | 유치원의 유아생활지도 소홀 관련 민원 | 1                   | ○           |
| 7    | 학부모      | 초중 통합학교 관련 민원 | 10                  | △           |
| 8    | 학부모      | 지하철역 에스컬레이터 설치 관련 민원 | 10                  | ○           |
| 9    | 교사        | 학교장의 학교경영 관련 민원 | 10                  | ○           |
| 10   | 학부모/교사 | 전화응대 불친절 관련 민원 | 10                  | ○           |
| 11   | 학생/학부모 | 학생 급식 관련 민원 | 10                  | ○           |
| 12   | 학생        | 학생간 욕설, 폭력 등 관련 민원 | 20                  | ○           |
| 13   | 일반인      | 흡연 관련 민원 | 10                  | ○           |
| 14   | 일반인      | 운동장 소음 관련 민원 | 5                   | ○           |
| 15   | 일반인      | 교사 특별채용 요청 관련 민원 | 1                   | ○           |
| 계   |             |                        | 127                 |             |

분석결과 참여자는 학교는 ‘아이들을 살리는 곳’이라는 신념 이상의 교육적 신앙을 가지고 학생들과 함께 어울리는 가족 같은 삶을 살아왔고 그 과정에서 사람이 중요하다는 것을 깨닫고 인간을 어떻게 대해야 하는지에 대해 고민을 많이 하고 그 대안을 찾으려 부단한 노력을 해 왔던 것이다. 그러한 과정 속에서 그가 맞이하는 수많은 민원인들을 어떻게 응대해야 하는지에 대한 나름의 원칙과 소신을 갖고 있었다. 내러티브 탐구방법에 따르면, 참여자가 이야기하는 현장텍스트의 분석은 민원인과 민원담당자간에 교류하는 소통과 공감의 인간적 정서를 드러내어 인간이 가지고 있는 내면의 세계를 다른 사람들과 공유할 수 있도록 하는데, 연구의 목적에 있다(이새암, 2010). 이러한 목적의 원활한 수행을 위해 문학적인 텍스트로 전개하는 내러티브
